"AnimalID","t_0","site_0","Mass_std","Sex","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"116R",2001,"PYRAMID ROCK",0.33607702189961,"M",12,12,12,4,12,12,7,8,12,10,12,12,12,12,12,12,12,12,12
"116Y",2002,"SOUTH SEAL ROCK",-0.386020731551915,"F",12,12,2,3,4,12,12,7,12,12,12,12,12,12,12,12,12,12,12
"117R",2001,"PYRAMID ROCK",-0.132653098761906,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"117Y",2002,"SOUTH SEAL ROCK",0.247398350423107,"F",12,12,12,12,12,12,6,7,8,9,10,11,11,12,11,12,12,12,12
"118R",2001,"PYRAMID ROCK",-0.538041311225921,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"118Y",2002,"SOUTH SEAL ROCK",0.880817432398129,"M",12,1,2,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"119R",2001,"PYRAMID ROCK",-0.373352349912415,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"119Y",2002,"SOUTH SEAL ROCK",1.19752697338564,"M",12,1,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"11R",2001,"PYRAMID ROCK",0.0953777707491013,"M",12,12,12,4,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"11Y",2002,"SOUTH SEAL ROCK",0.551439509771118,"M",12,12,2,3,12,5,6,12,12,9,12,11,12,11,11,11,12,12,12
"120R",2001,"PYRAMID ROCK",-0.892755997131933,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"120Y",2002,"SOUTH SEAL ROCK",0.222061587144106,"F",12,1,12,3,4,5,6,7,8,9,10,11,11,11,11,12,11,11,11
"121R",2001,"PYRAMID ROCK",-0.373352349912415,"F",12,12,3,4,5,6,7,8,9,12,11,11,11,12,12,12,12,12,12
"121Y",2002,"SOUTH SEAL ROCK",-0.00596928236690186,"F",12,1,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12
"122R",2001,"PYRAMID ROCK",-0.79140894401593,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"122Y",2002,"SOUTH SEAL ROCK",-0.614051601062923,"F",12,12,2,3,12,5,6,7,12,9,10,12,12,12,12,12,12,12,12
"123R",2001,"PYRAMID ROCK",-0.690061890899926,"F",12,12,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"123Y",2002,"SOUTH SEAL ROCK",-0.23400015187791,"M",12,1,2,3,4,5,6,7,12,9,10,11,11,11,11,12,12,12,12
"124R",2001,"PYRAMID ROCK",0.260066732062607,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"124Y",2002,"SOUTH SEAL ROCK",0.386750548457612,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"125R",2001,"PYRAMID ROCK",-0.0313060456459031,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"125Y",2002,"SOUTH SEAL ROCK",-0.310010441714913,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"126R",2001,"PYRAMID ROCK",0.171388060586104,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"126Y",2002,"SOUTH SEAL ROCK",0.0573726258306004,"M",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"127R",2001,"PYRAMID ROCK",-0.601383219423423,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"127Y",2002,"SOUTH SEAL ROCK",-0.259336915156911,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"128R",2001,"PYRAMID ROCK",-1.00677143188744,"F",1,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12
"128Y",2002,"SOUTH SEAL ROCK",-0.310010441714913,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"129R",2001,"PYRAMID ROCK",-0.80407732565543,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"129Y",2002,"SOUTH SEAL ROCK",0.310740258620609,"F",12,12,12,12,12,5,6,7,8,9,10,11,12,12,12,12,12,12,12
"12R",2001,"PYRAMID ROCK",-0.310010441714913,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"12Y",2002,"SOUTH SEAL ROCK",0.690791707805623,"M",12,12,2,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"130R",2001,"PYRAMID ROCK",-0.360683968272914,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"130Y",2002,"SOUTH SEAL ROCK",0.323408640260109,"M",12,12,2,12,4,5,6,12,8,9,12,12,12,12,12,12,12,12,12
"131R",2001,"PYRAMID ROCK",-0.157989862040908,"F",12,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"131Y",2002,"SOUTH SEAL ROCK",0.0953777707491013,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"132R",2001,"PYRAMID ROCK",0.589444654689619,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"132Y",2002,"SOUTH SEAL ROCK",-0.0946479538434053,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"133R",2001,"PYRAMID ROCK",-0.652056745981425,"F",12,12,3,12,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"133Y",2002,"SOUTH SEAL ROCK",0.982164485514132,"M",12,12,2,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"134R",2001,"PYRAMID ROCK",-0.892755997131933,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"134Y",2002,"SOUTH SEAL ROCK",-0.52537292958642,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"135R",2001,"PYRAMID ROCK",0.855480669119128,"M",12,12,3,4,5,12,7,8,12,12,12,12,12,12,12,12,12,12,12
"135Y",2002,"SOUTH SEAL ROCK",0.602113036329119,"M",12,12,12,3,12,12,12,7,12,12,12,12,12,12,12,12,12,12,12
"136R",2001,"PYRAMID ROCK",-0.360683968272914,"F",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"136Y",2002,"SOUTH SEAL ROCK",1.24820049994364,"M",12,12,2,12,12,5,12,7,8,12,10,11,11,12,12,12,12,12,12
"137R",2001,"PYRAMID ROCK",-0.854750852213432,"F",12,2,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12
"137Y",2002,"SOUTH SEAL ROCK",0.982164485514132,"M",12,12,2,3,4,5,6,7,8,9,10,11,11,12,12,12,12,12,12
"138R",2001,"PYRAMID ROCK",0.171388060586104,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"138Y",2002,"SOUTH SEAL ROCK",-0.0313060456459031,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"139R",2001,"PYRAMID ROCK",-0.0819795722039047,"F",12,2,3,4,5,6,12,12,12,10,12,12,12,12,12,12,12,12,12
