"AnimalID","SiteName","Beach","Region","Time","Sex","Age","Behavior","Platform","date","datetime","pup_evidence"
"462R","PYRAMID ROCK",NA,"OREGON",1404,"UNK","P",NA,NA,"08/16/2005",2005-08-16 14:04:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1000,"UNK","P",NA,NA,"08/20/2005",2005-08-20 10:00:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1844,"UNK","P",NA,NA,"08/21/2005",2005-08-21 18:44:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1406,"UNK","P",NA,NA,"08/22/2005",2005-08-22 14:06:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",935,"UNK","P",NA,NA,"08/23/2005",2005-08-23 09:35:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1557,"UNK","P",NA,NA,"08/24/2005",2005-08-24 15:57:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1337,"UNK","P",NA,NA,"08/30/2005",2005-08-30 13:37:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1332,"UNK","P",NA,NA,"09/01/2005",2005-09-01 13:32:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1000,"UNK","P",NA,NA,"09/02/2005",2005-09-02 10:00:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1442,"UNK","P",NA,NA,"09/03/2005",2005-09-03 14:42:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",1200,"UNK","P",NA,NA,"09/06/2005",2005-09-06 12:00:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",800,"UNK","P",NA,NA,"09/13/2005",2005-09-13 08:00:00,NA
"462R","PYRAMID ROCK",NA,"OREGON",0,NA,NA,NA,NA,"09/29/2005",2005-09-29 00:00:00,NA
"462R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"12/12/2005",2005-12-12 12:00:00,NA
"462R","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"12/13/2005",2005-12-13 12:00:00,NA
